"article","link","contributors","about","year","cited","addonlinks","year"
"Fast prediction of web user browsing behaviours using most interesting patterns","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:W7OEmFMy1HYC","DS Sisodia, V Khandal, R Singhal","Journal of Information Science 44 (1), 74-90",", 2016","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16452400302080743716","2016"
"Augmented intuitive dissimilarity metric for clustering of web user sessions","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:UeHWp8X0CEIC","DS Sisodia, S Verma, OP Vyas","Journal of Information Science 43 (4), 480-491",", 2016","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3471858947488323791","2016"
"Grouping based job scheduling algorithm using priority queue and hybrid algorithm in grid computing","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:dshw04ExmUIC","P Rosemarry, R Singh, P Singhal, D Sisodia","International Journal of Grid Computing & Applications 3 (4), 55",", 2012","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5122560921047434490","2012"
"Aggregation of preference relations to enhance the ranking quality of collaborative filtering based group recommender system","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:O3NaXMp0MMsC","A Pujahari, DS Sisodia","Expert Systems with Applications 156, 113476",", 2020","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4209732984686433490","2020"
"Handbook of Research on Advancements of Artificial Intelligence in Healthcare Engineering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:RGFaLdJalmkC","DS Sisodia, RB Pachori, L Garg","https://www.igi-global.com/book/handbook-research-advancements-artificial …",", 2020","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6532016982522393435","2020"
"Quad division prototype selection-based k-nearest neighbor classifier for click fraud detection from highly skewed user click dataset","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:g5m5HwL7SMYC","D Sisodia, DS Sisodia","Engineering Science and Technology, an International Journal 28, 101011",", 2022","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16423192415128948908","2022"
"Gradient boosting learning for fraudulent publisher detection in online advertising","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:35N4QoGY0k4C","D Sisodia, DS Sisodia","Data Technologies and Applications 55 (2), 216-232",", 2021","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2864885451974478240","2021"
"A comparative analysis of browsing behavior of human visitors and automatic software agents","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:9yKSN-GCB0IC","DS Sisodia, S Verma, OP Vyas","American Journal of Systems and Software 3 (2), 31-35",", 2015","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2036447279657973058","2015"
"Real-Time Data Augmentation Based Transfer Learning Model for Breast Cancer Diagnosis Using Histopathological Images","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:lSLTfruPkqcC","R Rai, DS Sisodia","Advances in Biomedical Engineering and Technology, 473-488",", 2021","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15325581792415899530","2021"
"A performance review of intra and inter-group MANET routing protocols under varying speed of nodes","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:roLk4NBRz8UC","DS Sisodia, R Singhal, V Khandal,","International Journal of Electrical and Computer Engineering 7 (5), 2721-2730",", 2017","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1550490940987467979","2017"
"A comparative performance study of machine learning algorithms for sentiment analysis of movie viewers using open reviews","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:j3f4tGmQtD8C","DS Sisodia, S Bhandari, NK Reddy, A Pujahari","Performance Management of Integrated Systems and its Applications in …",", 2020","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7752503938417293145","2020"
"Ensemble Learning Approach for Clickbait Detection Using Article Headline Features.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:e5wmG9Sq2KIC","DS Sisodia","Informing Sci. Int. J. an Emerg. Transdiscipl. 22, 31-44",", 2019","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17156045120549597687","2019"
"Image pixel intensity and artificial neural network based method for pattern recognition","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:u-x6o8ySG0sC","DS Sisodia, S Verma","World Acad. Sci. Eng. Technol 57, 742-745",", 2011","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16249060140553688058","2011"
"Preference relation based collaborative filtering with graph aggregation for group recommender system","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:RYcK_YlVTxYC","A Pujahari, DS Sisodia","Applied Intelligence 51, 658-672",", 2021","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6951042195418794282","2021"
"Alcoholism detection using support vector machines and centered correntropy features of brain EEG signals","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:ULOm3_A8WrAC","A Anuragi, DS Sisodia","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16539303163190658486","2017"
"Data sampling strategies for click fraud detection using imbalanced user click data of online advertising: an empirical review","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:ldfaerwXgEUC","D Sisodia, DS Sisodia","IETE Technical Review 39 (4), 789-798",", 2022","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8414929575819971157","2022"
"Compositional framework for multitask learning in the identification of cleavage sites of HIV-1 protease","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:JV2RwH3_ST0C","D Singh, DS Sisodia, P Singh","Journal of Biomedical Informatics 102, 103376",", 2020","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16215662855784742413","2020"
"DataAutism: an early detection framework of autism in infants using data science","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:iH-uZ7U-co4C","VG Shankar, DS Sisodia, P Chandrakar","Data Management, Analytics and Innovation: Proceedings of ICDMAI 2019 …",", 2020","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3712032739316568723","2020"
"Product recommendations using textual similarity based learning models","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:RHpTSmoSYBkC","R Shrivastava, DS Sisodia","2019 International Conference on Computer Communication and Informatics …",", 2019","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8027238396645558182","2019"
