"article","link","contributors","about","year","cited","addonlinks","year"
"An investigation of the effect of discretization on defect prediction using static measures","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:BqipwSGYUEgC","P Singh, S Verma","2009 International Conference on Advances in Computing, Control, and …",", 2009","26","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9988437775083209687","2009"
"BLADE: Robust malware detection against obfuscation in android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:YohjEiUPhakC","V Sihag, M Vardhan, P Singh","Forensic Science International: Digital Investigation 38, 301176",", 2021","25","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10717568085505272241","2021"
"Building an effective approach toward Intrusion detection using ensemble feature selection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:k8Z6L05lTy4C","AK Shukla, P Singh","International Journal of Information Security and Privacy (IJISP) 13 (3), 31-47",", 2019","24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1672169688465180926","2019"
"Cardiac Arrhythmia Classification Using Machine Learning Techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:tYavs44e6CUC","N Singh, P Singh","Engineering Vibration, Communication and Information Processing, 469-480",", 2019","23","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15679875909638460411","2019"
"Weight similarity measurement model based, object oriented approach for bug databases mining to detect similar and duplicate bugs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:ns9cj8rnVeAC","NK Nagwani, P Singh","Proceedings of the International Conference on Advances in Computing …",", 2009","22","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14531050746140310453","2009"
"Signature Based Malicious Behavior Detection in Android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:edDO8Oi4QzsC","V Sihag, A Swami, M Vardhan, P Singh","International Conference on Computing Science, Communication and Security …",", 2020","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2327583197458425978","2020"
"Cross company and within company fault prediction using object oriented metrics","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:u_35RYKgDlwC","P Singh, S Verma, OP Vyas","International Journal of Computer Applications 74 (8)",", 2013","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16858388034492229621","2013"
"Comparative study of individual and ensemble methods of classification for credit scoring","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:tkaPQYYpVKoC","P Singh","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11045353301176394310","2017"
"Simulation of Self-driving Car using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:PVjk1bu6vJQC","A Bhalla, MS Nikhila, P Singh","2020 3rd International Conference on Intelligent Sustainable Systems (ICISS …",", 2020","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14817920329235457994","2020"
"Neighbour teaching learning based optimization for global optimization problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:9vf0nzSNQJEC","AK Shukla, P Singh, M Vardhan","Journal of Intelligent & Fuzzy Systems 34 (3), 1583-1594",", 2018","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7922268455242230948","2018"
"Cross project software fault prediction at design phase","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:NhqRSupF_l8C","P Singh, S Verma","International Journal of Computer and Information Engineering 9 (3), 800-805",", 2015","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8205221190248612439","2015"
"An efficient software fault prediction model using cluster based classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:EUQCXRtRnyEC","P Singh, S Verma","Int. J. Appl. Inf. Syst 7 (3), 35-41",", 2014","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12937818101766792205","2014"
"Comparing the effectiveness of machine learning algorithms for defect prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:GnPB-g6toBAC","P Singh","International Journal of Information Technology and Knowledge Management 2 …",", 2009","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2469226410518618982","2009"
"Investigating the effect of feature selection and dimensionality reduction on phishing website classification problem","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:fQNAKQ3IYiAC","P Singh, N Jain, A Maini","2015 1st International Conference on Next Generation Computing Technologies …",", 2015","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5447389059938835171","2015"
"A Stacked Generalization Approach for Diagnosis and Prediction of Type 2 Diabetes Mellitus","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:LI9QrySNdTsC","N Singh, P Singh","Computational Intelligence in Data Mining, 559-570",", 2020","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10217436206768577343","2020"
"Hybrid approach for gene selection and classification using filter and genetic algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:eMMeJKvmdy0C","P Singh, A Shukla, M Vardhan","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9583653235196114285","2017"
"An investigation of the relationships between software metrics and defects","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:NaGl4SEjCO4C","P Singh, KD Chaudhary, S Verma","International Journal of Computer Applications 28 (8), 13-17",", 2011","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8930918500968010267","2011"
"Compositional framework for multitask learning in the identification of cleavage sites of HIV-1 protease","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:i2xiXl-TujoC","D Singh, DS Sisodia, P Singh","Journal of Biomedical Informatics 102, 103376",", 2020","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16215662855784742413","2020"
"DNA Gene Expression Analysis on Diffuse Large B-Cell Lymphoma (DLBCL) Based on Filter Selection Method with Supervised Classification Method","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:tKAzc9rXhukC","AK Shukla, P Singh, M Vardhan","Computational Intelligence in Data Mining, 783-792",", 2019","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12921271276693613034","2019"
"Putative drug and vaccine target identification in Leishmania donovani membrane proteins using naive bayes probabilistic classifier","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:D_sINldO8mEC","AK Sinha, P Singh, A Prakash, D Pal, A Dube, A Kumar","IEEE/ACM transactions on computational biology and bioinformatics 14 (1 …",", 2017","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16436439321024133421","2017"
"PICAndro: Packet InspeCtion-Based Android Malware Detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:anf4URPfarAC","V Sihag, G Choudhary, M Vardhan, P Singh, JT Seo","Security and Communication Networks 2021",", 2021","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2765134403394882293","2021"
"Software Defect Prediction using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:NXb4pA-qfm4C","M Nevendra, P Singh","Acta Polytechnica Hungarica 18 (10)",", 2021","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12205497235277282735","2021"
"Medical Diagnosis of Parkinson Disease Driven by Multiple Preprocessing Technique with Scarce Lee Silverman Voice Treatment Data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:KUbvn5osdkgC","AK Shukla, P Singh, M Vardhan","Engineering Vibration, Communication and Information Processing, 407-421",", 2019","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14599815975422394382","2019"
"A novel filter approach for efficient selection and small round blue-cell tumor cancer detection using microarray gene expression data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:WA5NYHcadZ8C","P Singh, A Shukla, M Vardhan","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5802646754438116761","2017"
"Rule Based Approach for Prediction of Chronic Kidney Disease: A Comparative Study","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:NJ774b8OgUMC","N Singh, P Singh","Biomed Pharmacol J 10 (2)",", 2017","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18039389988113856084","2017"
