"article","link","contributors","about","year","cited","addonlinks","year"
"Weight similarity measurement model based, object oriented approach for bug databases mining to detect similar and duplicate bugs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:d1gkVwhDpl0C","NK Nagwani, P Singh","Proceedings of the International Conference on Advances in Computing …",", 2009","22","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14531050746140310453","2009"
"A data mining model to predict software bug complexity using bug estimation and clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:eQOLeE2rZwMC","NK Nagwani, A Bhansali","2010 International Conference on Recent Trends in Information …",", 2010","21","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9798700675396041164","2010"
"Predictive data mining model for software bug estimation using average weighted similarity","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:u-x6o8ySG0sC","NK Nagwani, S Verma","2010 IEEE 2nd International Advance Computing Conference (IACC), 373-378",", 2010","21","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11705625523770885148","2010"
"A comparative study of bug classification algorithms","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:KlAtU1dfN6UC","NK Nagwani, S Verma","International Journal of Software Engineering and Knowledge Engineering 24 …",", 2014","20","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13896347688300722349","2014"
"Generating taxonomic terms for software bug classification by utilizing topic models based on Latent Dirichlet Allocation","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:MXK_kJrjxJIC","NK Nagwani, S Verma, KK Mehta","2013 Eleventh International Conference on ICT and Knowledge Engineering, 1-5",", 2013","20","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7794245870064874129","2013"
"Application of time series based prediction model to forecast per capita disposable income","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:QIV2ME_5wuYC","D Sena, NK Nagwani","2015 IEEE International Advance Computing Conference (IACC), 454-457",", 2015","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12445225745630146779","2015"
"Performance evaluation of incremental K-means clustering algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:YOwf2qJgpHMC","S Chakraborty, NK Nagwani","arXiv preprint arXiv:1406.4737",", 2014","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17925842021587478979","2014"
"An incremental feature reordering (IFR) algorithm to classify eye state identification using EEG","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:4DMP91E08xMC","M Sahu, NK Nagwani, S Verma, S Shirke","Information Systems Design and Intelligent Applications: Proceedings of …",", 2015","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9979192555320268771","2015"
"Impact of feature selection technique on email classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:qUcmZB5y_30C","A Sharaff, NK Nagwani, K Swami","Int. J. Knowl. Eng 1 (1), 59-63",", 2015","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10162016244874033599","2015"
"Rank-me: A java tool for ranking team members in software bug repositories","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:UeHWp8X0CEIC","NK Nagwani, S Verma","Scientific Research Publishing",", 2012","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1193455889623397760","2012"
"Performance comparison of Ryu and floodlight controllers in different SDN topologies","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:nb7KW1ujOQ8C","RK Chouhan, M Atulkar, NK Nagwani","2019 1st International Conference on Advanced Technologies in Intelligent …",", 2019","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2860903871300461525","2019"
"ML-EC2: an algorithm for multi-label email classification using clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:zA6iFVUQeVQC","A Sharaff, NK Nagwani","International Journal of Web-Based Learning and Teaching Technologies …",", 2020","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8086999643728359541","2020"
"Performance Evaluation of Different Classifier for Eye State Prediction Using EEG Signal","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:hC7cP41nSMkC","M Sahu, NK Nagwani, S Verma, S Shirke","International Journal of Knowledge Engineering 1 (2), 141-145",", 2015","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15856686802738909517","2015"
"TAGme: A topical folksonomy based collaborative filtering for tag recommendation in community sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:M3NEmzRMIkIC","AK Singh, NK Nagwani, S Pandey","Proceedings of the 4th Multidisciplinary International Social Networks …",", 2017","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15830275447865084682","2017"
"A neural network autoregression model to forecast per capita disposable income","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:RYcK_YlVTxYC","D Sena, NK Nagwani","Rpn Journal Of Engineering And Applied Sciences 11 (22)",", 2016","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=753564740293162384","2016"
"Prof. Nagwani NK, Analysis and Study of Incremental DBSCAN Clustering Algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:B3FOqHPlNUQC","S Chakraborty","International Journal of Enterprise Computing And Business Systems 1",", 2011","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8540123144703767208","2011"
"Software bug categorization technique based on fuzzy similarity","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:fPk4N6BV_jEC","RR Panda, NK Nagwani","2019 IEEE 9th International Conference on Advanced Computing (IACC), 1-6",", 2019","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15660913150215309127","2019"
"A Bi-Level Text Classification Approach for SMS Spam Filtering and Identifying Priority Messages.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:bEWYMUwI8FkC","NK Nagwani","International Arab Journal of Information Technology (IAJIT) 14 (4)",", 2017","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2212409406226972518","2017"
"TagLDA based user persona model to identify topical experts for newly posted questions in community question answering sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:HDshCWvjkbEC","TP Sahu, NK Nagwani, S Verma","International Journal of Applied Engineering Research 11 (10), 7072-7078",", 2016","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7628724616519958631","2016"
"Cluster based-SPIN routing protocol for wireless sensors networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:dhFuZR0502QC","S Pandey, NK Nagwani, C Kumar","Indian Journal of Science and Technology 8 (15), 1-6",", 2015","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14424931643798464910","2015"
"Software bug classification using suffix tree clustering (STC) algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:qxL8FJ1GzNcC","NK Nagwani, S Verma","International Journal of Computer Science and Technology 2 (1), 36-41",", 2011","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4529231498750128991","2011"
"Performance measurement analysis for multi-agent systems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:Y0pCki6q_DkC","NK Nagwani","2009 international conference on intelligent agent & multi-agent systems, 1-4",", 2009","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14043990402133996191","2009"
