"article","link","contributors","about","year","cited","addonlinks","year"
"Machine learning for intelligent decision science","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:5nxA0vEk-isC","JK Rout, M Rout, H Das","Springer",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6193982104648309107","2020"
"Detecting product review spammers using principles of big data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:9ZlFYXVOiuMC","JK Rout, A Dalmia, SK Rath, BK Mohanta, S Ramasubbareddy, ...","IEEE Transactions on engineering management",", 2021","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4341428651943800211","2021"
"A Machine Learning Approach for the Prediction of Fetal Health using CTG","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:TQgYirikUcIC","AK Pradhan, JK Rout, AB Maharana, BK Balabantaray, NK Ray","2021 19th OITS International Conference on Information Technology (OCIT …",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15827335914782947710","2021"
"Bankruptcy Prediction using Robust Machine Learning Model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:M3ejUd6NZC8C","MR Amer Tabbakh, Jitendra Kumar Rout, Kshira Sagar Sahoo, NZ Jhanjhi ...","Turkish Journal of Computer and Mathematics Education (TURCOMAT) 12 (10 …",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7659549684788803321","2021"
"Analysis and Prediction of the Survival of Titanic Passengers Using Machine Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:MXK_kJrjxJIC","A Tabbakh, JK Rout, M Rout","Advances in Distributed Computing and Machine Learning: Proceedings of …",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2441083169058687245","2021"
"Sentiment analysis using weight model based on SentiWordNet 3.0","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:_FxGoFyzp5QC","J Kumar, JK Rout, A katiyar, SK Jena","Recent Findings in Intelligent Computing Techniques: Proceedings of the 5th …",", 2018","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2903230687689398951","2018"
"Construct-based sentiment analysis model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:qjMakFHDy7sC","S Singh, JK Rout, SK Jena","Proceedings of the International Conference on Signal, Networks, Computing …",", 2016","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8175551140758832497","2016"
"Prediction of Stroke Disease Using Different Types of Gradient Boosting Classifiers","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:R3hNpaxXUhUC","AK Pradhan, S Swain, JK Rout, NK Ray","Advances in Data Computing, Communication and Security: Proceedings of …",", 2022","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6975353883613152862","2022"
"Analysis and prevention of road accidents","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:Zph67rFs4hoC","BP Saha, JK Rout","International Conference on Emerging Trends and Advances in Electrical …",", 2020","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7639822761135423800","2020"
"A constructive model for sentiment analysis of speech using deep learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:Se3iqnhoufwC","AK Dash, R Pradhan, JK Rout, NK Ray","2018 International Conference on Information Technology (ICIT), 1-6",", 2018","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17126771460484093854","2018"
