"article","link","contributors","about","year","cited","addonlinks","year"
"COVID-19 Chest X-Rays Classification Using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:hC7cP41nSMkC","S Singh, M Sajwan, D Singh","Computational Intelligence and Applications for Pandemics and Healthcare, 25-39",", 2022","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17295873125271130329","2022"
"An evolutionary-based technique to characterise an anomaly in internet of things networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:ZeXyd9-uunAC","AK Shukla, S Pippal, D Singh, SR Reddy","International Journal of Internet Technology and Secured Transactions 11 (5 …",", 2021","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12203078249689883338","2021"
"Evolutionary Intelligence-Based Feature Descriptor Selection for Efficient Identification of Anti-Cancer Peptides","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:UebtZRa9Y70C","D Singh, DS Sisodia, P Singh","Handbook of Research on Advancements of Artificial Intelligence in …",", 2020","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15848474645374743648","2020"
"Cognitive framework for HIV-1 protease cleavage site classification using evolutionary algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:ufrVoPGSRksC","D Singh, DS Sisodia, P Singh","Arabian Journal for Science and Engineering 44, 9007-9027",", 2019","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5775232263050126830","2019"
"Solving Real Optimization Problem using Genetic Algorithm with Employed Bee (GAEB)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:9yKSN-GCB0IC","D Singh, A Sirmorya","International Journal of Computer Applications 975, 8887",", 2012","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2027401813986583678","2012"
"Path Planning using Particle Swarm Optimization with Linear Crossover Operator","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:WF5omc3nYNoC","V Singh, D Singh, R Tiwari, A Shukla","Advances in Mathematical and Computational Methods",", 2012","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12885356661362762477","2012"
"Convolutional Neural Network in Medical Image Analysis: A Review","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:BqipwSGYUEgC","SS Kshatri, D Singh","Archives of Computational Methods in Engineering 30 (4), 2793-2810",", 2023","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3685369891993025313","2023"
"Hyperspectral image classification using multiobjective optimization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:Zph67rFs4hoC","S Singh, D Singh, M Sajwan, VS Rathor, D Garg","Multimedia Tools and Applications 81 (18), 25345-25362",", 2022","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6076751793284899449","2022"
"An empirical analysis of instance-based transfer learning approach on protease substrate cleavage site prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:Y0pCki6q_DkC","D Singh, DS Sisodia, P Singh","Machine Intelligence and Signal Analysis, 59-70",", 2019","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16621176576626804010","2019"
"MDABC: Motif Discovery Using Artificial Bee Colony Algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:IjCSPb-OGe4C","V Singh, D Singh, R Tiwari, A Shukla","Journal of Information Technology Research (JITR) 5 (4), 30-47",", 2012","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15515616180908874559","2012"
