"article","link","contributors","about","year","cited","addonlinks","year"
"Personalized recommendation system with user interaction based on LMF and popularity model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:KlAtU1dfN6UC","A Sharaff, S Khurana, K Cheepurupalli, T Sahu","2020 international conference on system, computation, automation and …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16884398432610198886","2020"
"Feature Fusion based Growth Analysis of Chhattisgarh Rice Plants using Machine Learning Technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:5nxA0vEk-isC","B Patel, A Sharaff","2020 7th International Conference on Signal Processing and Integrated …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13455286547389716630","2020"
"Identifying spam patterns in sms using genetic programming approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:Se3iqnhoufwC","D Sharma, A Sharaff","2019 international conference on intelligent computing and control systems …",", 2019","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5368845727172278530","2019"
"Identifying categorical terms based on latent Dirichlet allocation for email categorization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:Y0pCki6q_DkC","A Sharaff, NK Nagwani","Emerging Technologies in Data Mining and Information Security: Proceedings …",", 2019","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3930724021635879701","2019"
"A methodology for validation of OCL constraints using coloured petri nets","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:2osOgNQ5qMEC","A Sharaff","International Journal of Scientific & Engineering Research, 4 (1)",", 2013","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17307891077829736884","2013"
"Email thread sentiment sequence identification using PLSA clustering algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:hFOr9nPyWt4C","U Srinivasarao, A Sharaff","Expert Systems with Applications 193, 116475",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16195725656037558294","2022"
"Email sentiment classification using lexicon-based opinion labeling","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:qxL8FJ1GzNcC","U Srinivasarao, A Sharaff","Intelligent computing and communication systems, 211-218",", 2021","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8846728908180097947","2021"
"Biological management of rice crop by using contour based masking technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:hqOjcs7Dif8C","B Patel, A Sharaff","2020 First International Conference on Power, Control and Computing …",", 2020","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1803451336138907172","2020"
"Improving topic coherence using parsimonious language model and latent semantic indexing","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:3fE2CSJIrl8C","JK Dewangan, A Sharaff, S Pandey","ICDSMLA 2019: Proceedings of the 1st International Conference on Data …",", 2020","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3275424395322971822","2020"
"Emerging research in computing, information, communication and applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:_Qo2XoVZTnwC","A Sharaff, NK Nagwani, A Dhadse","Comparative Study of Classification Algorithms for Spam Email Detection",", 2016","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16094447158802108083","2016"
"A Comparative Overview of Hybrid Recommender Systems: Review, Challenges, and Prospects","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:e5wmG9Sq2KIC","R Seth, A Sharaff","Data Mining and Machine Learning Applications, 57-98",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8102161219546676236","2022"
"Biomedical text summarization: a graph-based ranking approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:QIV2ME_5wuYC","S Gupta, A Sharaff, NK Nagwani","Applied Information Processing Systems: Proceedings of ICCET 2021, 147-156",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6785876815031411003","2022"
"Rice crop disease prediction using machine learning technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:M3ejUd6NZC8C","B Patel, A Sharaff","International Journal of Agricultural and Environmental Information Systems …",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=770507295521961382","2021"
"Performance enhancement of gene mention tagging by using deep learning and biomedical named entity recognition","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&cstart=20&pagesize=80&citation_for_view=c8_w41EAAAAJ:kNdYIx-mwKoC","A Kumar, A Sharaff","Intelligent Data Engineering and Analytics: Frontiers in Intelligent …",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6495136946656740295","2021"
